Тип,Время,Температура,День недели,Средняя температура,Стандартное отклонение,Количество
Исходные данные,2023-01-10T19:00,-12.3,,,,
Исходные данные,2023-01-10T20:00,-13.1,,,,
Исходные данные,2023-01-10T21:00,-13.7,,,,
Исходные данные,2023-01-10T22:00,-13.9,,,,
Исходные данные,2023-01-10T23:00,-14.1,,,,
Исходные данные,2023-01-11T00:00,-14.3,,,,
Исходные данные,2023-01-11T01:00,-14.4,,,,
Исходные данные,2023-01-11T02:00,-14.8,,,,
Исходные данные,2023-01-11T03:00,-13.9,,,,
Исходные данные,2023-01-11T04:00,-13.2,,,,
Исходные данные,2023-01-11T05:00,-12.9,,,,
Исходные данные,2023-01-11T06:00,-13.2,,,,
Исходные данные,2023-01-11T07:00,-13.8,,,,
Исходные данные,2023-01-11T08:00,-14.1,,,,
Исходные данные,2023-01-11T09:00,-14.1,,,,
Исходные данные,2023-01-11T10:00,-13.4,,,,
Исходные данные,2023-01-11T11:00,-12.8,,,,
Исходные данные,2023-01-11T12:00,-12.3,,,,
Исходные данные,2023-01-11T13:00,-12.1,,,,
Исходные данные,2023-01-11T14:00,-11.7,,,,
Исходные данные,2023-01-11T15:00,-10.1,,,,
Исходные данные,2023-01-11T16:00,-10.2,,,,
Исходные данные,2023-01-11T17:00,-10.4,,,,
Исходные данные,2023-01-11T18:00,-10.3,,,,
Исходные данные,2023-01-11T19:00,-10.1,,,,
Исходные данные,2023-01-11T20:00,-9.9,,,,
Исходные данные,2023-01-11T21:00,-9.6,,,,
Исходные данные,2023-01-11T22:00,-9.3,,,,
Исходные данные,2023-01-11T23:00,-9.1,,,,
Исходные данные,2023-01-12T00:00,-8.9,,,,
Исходные данные,2023-01-12T01:00,-8.8,,,,
Исходные данные,2023-01-12T02:00,-8.6,,,,
Исходные данные,2023-01-12T03:00,-8.5,,,,
Исходные данные,2023-01-12T04:00,-8.4,,,,
Исходные данные,2023-01-12T05:00,-8.4,,,,
Исходные данные,2023-01-12T06:00,-8.4,,,,
Исходные данные,2023-01-12T07:00,-8.6,,,,
Исходные данные,2023-01-12T08:00,-8.7,,,,
Исходные данные,2023-01-12T09:00,-9.0,,,,
Исходные данные,2023-01-12T10:00,-9.3,,,,
Исходные данные,2023-01-12T11:00,-9.4,,,,
Исходные данные,2023-01-12T12:00,-9.1,,,,
Исходные данные,2023-01-12T13:00,-8.9,,,,
Исходные данные,2023-01-12T14:00,-8.9,,,,
Исходные данные,2023-01-12T15:00,-9.8,,,,
Исходные данные,2023-01-12T16:00,-9.9,,,,
Исходные данные,2023-01-12T17:00,-9.9,,,,
Исходные данные,2023-01-12T18:00,-9.6,,,,
Исходные данные,2023-01-12T19:00,-8.6,,,,
Исходные данные,2023-01-12T20:00,-7.8,,,,
Исходные данные,2023-01-12T21:00,-8.0,,,,
Исходные данные,2023-01-12T22:00,-8.1,,,,
Исходные данные,2023-01-12T23:00,-7.8,,,,
Исходные данные,2023-01-13T00:00,-8.1,,,,
Исходные данные,2023-01-13T01:00,-7.8,,,,
Исходные данные,2023-01-13T02:00,-7.5,,,,
Исходные данные,2023-01-13T03:00,-7.1,,,,
Исходные данные,2023-01-13T04:00,-6.9,,,,
Исходные данные,2023-01-13T05:00,-6.8,,,,
Исходные данные,2023-01-13T06:00,-6.7,,,,
Исходные данные,2023-01-13T07:00,-6.4,,,,
Исходные данные,2023-01-13T08:00,-6.3,,,,
Исходные данные,2023-01-13T09:00,-6.3,,,,
Исходные данные,2023-01-13T10:00,-6.1,,,,
Исходные данные,2023-01-13T11:00,-5.8,,,,
Исходные данные,2023-01-13T12:00,-5.5,,,,
Исходные данные,2023-01-13T13:00,-5.3,,,,
Исходные данные,2023-01-13T14:00,-5.2,,,,
Исходные данные,2023-01-13T15:00,-5.9,,,,
Исходные данные,2023-01-13T16:00,-5.9,,,,
Исходные данные,2023-01-13T17:00,-5.9,,,,
Исходные данные,2023-01-13T18:00,-5.9,,,,
Исходные данные,2023-01-13T19:00,-5.6,,,,
Исходные данные,2023-01-13T20:00,-5.3,,,,
Исходные данные,2023-01-13T21:00,-5.1,,,,
Исходные данные,2023-01-13T22:00,-4.7,,,,
Исходные данные,2023-01-13T23:00,-4.4,,,,
Исходные данные,2023-01-14T00:00,-4.2,,,,
Исходные данные,2023-01-14T01:00,-4.0,,,,
Исходные данные,2023-01-14T02:00,-3.9,,,,
Исходные данные,2023-01-14T03:00,-4.0,,,,
Исходные данные,2023-01-14T04:00,-3.8,,,,
Исходные данные,2023-01-14T05:00,-3.8,,,,
Исходные данные,2023-01-14T06:00,-3.5,,,,
Исходные данные,2023-01-14T07:00,-3.5,,,,
Исходные данные,2023-01-14T08:00,-3.2,,,,
Исходные данные,2023-01-14T09:00,-2.9,,,,
Исходные данные,2023-01-14T10:00,-2.7,,,,
Исходные данные,2023-01-14T11:00,-2.5,,,,
Исходные данные,2023-01-14T12:00,-2.3,,,,
Исходные данные,2023-01-14T13:00,-2.2,,,,
Исходные данные,2023-01-14T14:00,-2.2,,,,
Исходные данные,2023-01-14T15:00,-2.8,,,,
Исходные данные,2023-01-14T16:00,-3.0,,,,
Исходные данные,2023-01-14T17:00,-3.0,,,,
Исходные данные,2023-01-14T18:00,-2.9,,,,
Исходные данные,2023-01-14T19:00,-2.8,,,,
Исходные данные,2023-01-14T20:00,-2.7,,,,
Исходные данные,2023-01-14T21:00,-2.7,,,,
Исходные данные,2023-01-14T22:00,-2.6,,,,
Исходные данные,2023-01-14T23:00,-2.5,,,,
Исходные данные,2023-01-15T00:00,-2.5,,,,
Исходные данные,2023-01-15T01:00,-2.5,,,,
Исходные данные,2023-01-15T02:00,-2.6,,,,
Исходные данные,2023-01-15T03:00,-3.2,,,,
Исходные данные,2023-01-15T04:00,-3.2,,,,
Исходные данные,2023-01-15T05:00,-3.3,,,,
Исходные данные,2023-01-15T06:00,-3.3,,,,
Исходные данные,2023-01-15T07:00,-3.3,,,,
Исходные данные,2023-01-15T08:00,-3.3,,,,
Исходные данные,2023-01-15T09:00,-3.3,,,,
Исходные данные,2023-01-15T10:00,-3.2,,,,
Исходные данные,2023-01-15T11:00,-3.0,,,,
Исходные данные,2023-01-15T12:00,-2.9,,,,
Исходные данные,2023-01-15T13:00,-2.8,,,,
Исходные данные,2023-01-15T14:00,-2.8,,,,
Исходные данные,2023-01-15T15:00,-2.8,,,,
Исходные данные,2023-01-15T16:00,-3.0,,,,
Исходные данные,2023-01-15T17:00,-3.3,,,,
Исходные данные,2023-01-15T18:00,-3.5,,,,
Исходные данные,2023-01-15T19:00,-3.8,,,,
Исходные данные,2023-01-15T20:00,-3.8,,,,
Исходные данные,2023-01-15T21:00,-3.9,,,,
Исходные данные,2023-01-15T22:00,-4.0,,,,
Исходные данные,2023-01-15T23:00,-4.2,,,,
Исходные данные,2023-01-16T00:00,-4.3,,,,
Исходные данные,2023-01-16T01:00,-4.4,,,,
Исходные данные,2023-01-16T02:00,-4.4,,,,
Исходные данные,2023-01-16T03:00,-4.2,,,,
Исходные данные,2023-01-16T04:00,-4.2,,,,
Исходные данные,2023-01-16T05:00,-4.4,,,,
Исходные данные,2023-01-16T06:00,-4.8,,,,
Исходные данные,2023-01-16T07:00,-5.1,,,,
Исходные данные,2023-01-16T08:00,-5.2,,,,
Исходные данные,2023-01-16T09:00,-5.3,,,,
Исходные данные,2023-01-16T10:00,-5.1,,,,
Исходные данные,2023-01-16T11:00,-4.7,,,,
Исходные данные,2023-01-16T12:00,-4.3,,,,
Исходные данные,2023-01-16T13:00,-4.0,,,,
Исходные данные,2023-01-16T14:00,-4.3,,,,
Исходные данные,2023-01-16T15:00,-4.6,,,,
Исходные данные,2023-01-16T16:00,-4.8,,,,
Исходные данные,2023-01-16T17:00,-4.8,,,,
Исходные данные,2023-01-16T18:00,-4.6,,,,
Исходные данные,2023-01-16T19:00,-4.2,,,,
Исходные данные,2023-01-16T20:00,-3.9,,,,
Исходные данные,2023-01-16T21:00,-3.8,,,,
Исходные данные,2023-01-16T22:00,-3.5,,,,
Исходные данные,2023-01-16T23:00,-3.3,,,,
Исходные данные,2023-01-17T00:00,-3.2,,,,
Исходные данные,2023-01-17T01:00,-3.0,,,,
Исходные данные,2023-01-17T02:00,-2.8,,,,
Исходные данные,2023-01-17T03:00,-3.3,,,,
Исходные данные,2023-01-17T04:00,-3.3,,,,
Исходные данные,2023-01-17T05:00,-3.2,,,,
Исходные данные,2023-01-17T06:00,-3.0,,,,
Исходные данные,2023-01-17T07:00,-2.8,,,,
Исходные данные,2023-01-17T08:00,-2.6,,,,
Исходные данные,2023-01-17T09:00,-2.3,,,,
Исходные данные,2023-01-17T10:00,-1.9,,,,
Исходные данные,2023-01-17T11:00,-1.2,,,,
Исходные данные,2023-01-17T12:00,-0.9,,,,
Исходные данные,2023-01-17T13:00,-0.4,,,,
Исходные данные,2023-01-17T14:00,-0.1,,,,
Исходные данные,2023-01-17T15:00,0.6,,,,
